blax,blay,blaz,trax,tray,traz,ms
-9.299079,0.062249,-0.189142,10.431537,-0.09098,1.271321,2660889
-9.291897,0.069432,-0.227449,10.390836,-0.114922,1.290475,2660896
-9.263166,0.098162,-0.136469,10.393229,-0.124498,1.189918,2660902
-9.31105,0.129287,-0.155623,10.419566,-0.148441,1.264138,2660909
-9.301474,0.102951,-0.131681,10.34774,-0.153229,1.206678,2660915
-9.378088,0.107739,-0.265756,10.374076,-0.031125,1.228225,2660921
-9.332599,0.105345,-0.217872,10.402806,-0.117316,1.201889,2660928
-9.320627,0.138864,-0.217872,10.378864,-0.131681,1.240196,2660934
-9.272743,0.117316,-0.160412,10.388441,-0.057461,1.237802,2660940
-9.270349,0.148441,-0.177171,10.338163,-0.09098,1.244985,2660947
-9.277532,0.107739,-0.148441,10.33098,-0.134075,1.335965,2660953
-9.320627,0.117316,-0.203507,10.445902,-0.069432,1.235408,2660960
-9.299079,0.088585,-0.098162,10.383653,-0.105345,1.228225,2660966
-9.332599,0.160412,-0.138864,10.378864,-0.131681,1.292869,2660973
-9.318233,0.114922,-0.155623,10.326192,-0.114922,1.249773,2660979
-9.349358,0.160412,-0.184354,10.436325,-0.167594,1.288081,2660985
-9.303867,0.079009,-0.203507,10.364499,-0.162806,1.254562,2660992
-9.277532,0.055067,-0.126893,10.383653,-0.126893,1.323994,2660998
-9.325416,0.122104,-0.277727,10.426748,-0.172383,1.242591,2661005
-9.315839,0.093374,-0.172383,10.366894,-0.102951,1.233014,2661011
-9.351752,0.114922,-0.167594,10.402806,-0.057461,1.278504,2661017
-9.277532,0.081403,-0.169988,10.311827,-0.150835,1.233014,2661024
-9.334992,0.141258,-0.169988,10.398018,-0.093374,1.23062,2661030
-9.251195,0.083797,-0.11971,10.424355,-0.146046,1.254562,2661037
-9.31105,0.088585,-0.201113,10.460267,-0.1652,1.278504,2661043
-9.267955,0.143652,-0.220267,10.393229,-0.126893,1.204283,2661049
-9.31105,0.093374,-0.21069,10.383653,-0.102951,1.307234,2661056
-9.330204,0.124498,-0.146046,10.460267,-0.102951,1.173159,2661062
-9.342175,0.098162,-0.126893,10.402806,-0.136469,1.256956,2661069
-9.349358,0.129287,-0.160412,10.398018,-0.126893,1.115698,2661075
-9.318233,0.124498,-0.134075,10.388441,-0.124498,1.206678,2661082
-9.349358,0.138864,-0.21069,10.409989,-0.105345,1.276109,2661088
-9.32781,0.100556,-0.268151,10.460267,-0.09098,1.278504,2661094
-9.346964,0.107739,-0.196325,10.395624,-0.11971,1.297657,2661101
-9.320627,0.098162,-0.203507,10.43872,-0.124498,1.175553,2661107
-9.294291,0.114922,-0.181959,10.323798,-0.158017,1.204283,2661114
-9.32781,0.198719,-0.265756,10.340557,-0.117316,1.194707,2661120
-9.339781,0.153229,-0.225055,10.398018,-0.107739,1.189918,2661126
-9.248801,0.153229,-0.181959,10.402806,-0.172383,1.240196,2661133
-9.339781,0.146046,-0.208296,10.445902,-0.100556,1.25935,2661139
-9.308656,0.098162,-0.272939,10.381259,-0.141258,1.319205,2661146
-9.344569,0.134075,-0.205901,10.357317,-0.134075,1.290475,2661152
-9.3733,0.067038,-0.275333,10.350134,-0.138864,1.261744,2661158
-9.299079,0.095768,-0.174777,10.407595,-0.112527,1.266533,2661165
-9.330204,0.100556,-0.143652,10.371682,-0.110133,1.225831,2661171
-9.323022,0.186748,-0.126893,10.417171,-0.11971,1.256956,2661178
-9.323022,0.117316,-0.167594,10.443508,-0.088585,1.252167,2661184
-9.318233,0.07422,-0.160412,10.374076,-0.079009,1.209072,2661191
-9.289502,0.11971,-0.155623,10.436325,-0.086191,1.187524,2661197
-9.267955,0.11971,-0.203507,10.407595,-0.136469,1.223437,2661204
-9.294291,0.086191,-0.1652,10.431537,-0.081403,1.264138,2661210
-9.267955,0.131681,-0.064643,10.366894,-0.136469,1.163582,2661216
-9.267955,0.117316,-0.150835,10.46745,-0.114922,1.237802,2661223
-9.301474,0.134075,-0.114922,10.400413,-0.129287,1.235408,2661229
-9.332599,0.095768,-0.208296,10.383653,-0.098162,1.18513,2661235
-9.301474,0.184354,-0.263362,10.388441,-0.055067,1.280898,2661242
-9.294291,0.105345,-0.1652,10.345345,-0.177171,1.288081,2661248
-9.31105,0.110133,-0.134075,10.402806,-0.110133,1.283292,2661255
-9.275137,0.141258,-0.237026,10.42196,-0.136469,1.240196,2661261
-9.294291,0.158017,-0.208296,10.395624,-0.093374,1.130063,2661268
-9.325416,0.064643,-0.155623,10.398018,-0.055067,1.23062,2661275
-9.315839,0.112527,-0.162806,10.405201,-0.129287,1.280898,2661281
-9.287108,0.160412,-0.174777,10.405201,-0.088585,1.244985,2661287
-9.361329,0.069432,-0.181959,10.376471,-0.110133,1.237802,2661294
-9.308656,0.112527,-0.191536,10.436325,-0.100556,1.187524,2661300
-9.344569,0.124498,-0.220267,10.419566,-0.122104,1.283292,2661306
-9.270349,0.107739,-0.153229,10.390836,-0.117316,1.278504,2661313
-9.248801,0.138864,-0.217872,10.419566,-0.167594,1.316811,2661319
-9.294291,0.134075,-0.294487,10.417171,-0.083797,1.192312,2661326
-9.351752,0.107739,-0.246603,10.453085,-0.093374,1.199495,2661332
-9.334992,0.126893,-0.169988,10.338163,-0.117316,1.233014,2661339
-9.342175,0.100556,-0.225055,10.381259,-0.102951,1.300052,2661345
-9.344569,0.162806,-0.129287,10.374076,-0.124498,1.197101,2661351
-9.294291,0.102951,-0.09098,10.338163,-0.1652,1.252167,2661358
-9.330204,0.146046,-0.277727,10.393229,-0.093374,1.23062,2661365
-9.356541,0.112527,-0.203507,10.376471,-0.136469,1.288081,2661372
-9.318233,0.129287,-0.160412,10.409989,-0.095768,1.242591,2661378
-9.361329,0.11971,-0.19393,10.376471,-0.153229,1.271321,2661384
-9.334992,0.158017,-0.172383,10.42196,-0.112527,1.268927,2661391
-9.344569,0.117316,-0.150835,10.393229,-0.1652,1.312023,2661397
-9.289502,0.110133,-0.203507,10.424355,-0.146046,1.33357,2661404
-9.301474,0.141258,-0.275333,10.371682,-0.062249,1.187524,2661410
-9.315839,0.088585,-0.129287,10.407595,-0.146046,1.233014,2661417
-9.344569,0.050278,-0.189142,10.431537,-0.079009,1.170765,2661423
-9.244013,0.105345,-0.146046,10.42196,-0.043096,1.249773,2661429
-9.291897,0.131681,-0.196325,10.42196,-0.138864,1.218649,2661436
-9.315839,0.11971,-0.220267,10.414778,-0.095768,1.256956,2661442
-9.356541,0.102951,-0.169988,10.398018,-0.093374,1.283292,2661449
-9.251195,0.07422,-0.186748,10.364499,-0.105345,1.225831,2661455
-9.258378,0.143652,-0.134075,10.424355,-0.081403,1.323994,2661461
-9.334992,0.107739,-0.100556,10.448297,-0.059855,1.21386,2661468
-9.337387,0.122104,-0.110133,10.42196,-0.088585,1.204283,2661474
-9.330204,0.138864,-0.148441,10.412383,-0.110133,1.187524,2661481
